tick,edge_id,mode,flow
0,133,car,14.2558
0,133,ped,0.0
0,133,transit,0.0
0,134,car,693.6472
0,134,ped,0.0
0,134,transit,0.0
0,135,car,336.7836
0,135,ped,28.3948
0,135,transit,0.0
0,136,car,142.8476
0,136,ped,38.4614
0,136,transit,0.0
0,137,car,1070.0828
0,137,ped,107.778
0,137,transit,0.0
0,138,car,170.2475
0,138,ped,31.2081
0,138,transit,0.0
0,139,car,0.0
0,139,ped,0.0
0,139,transit,0.0
0,140,car,133.639
0,140,ped,17.1279
0,140,transit,0.0
0,141,car,234.1749
0,141,ped,0.0
0,141,transit,0.0
0,142,car,90.7058
0,142,ped,0.0
0,142,transit,0.0
0,143,car,79.2925
0,143,ped,0.0
0,143,transit,0.0
0,144,car,76.2426
0,144,ped,0.0
0,144,transit,0.0
0,145,car,223.5113
0,145,ped,223.2419
0,145,transit,0.0
0,146,car,1034.7032
0,146,ped,4.1566
0,146,transit,0.0
0,147,car,104.8422
0,147,ped,18.0506
0,147,transit,0.0
0,148,car,152.057
0,148,ped,0.0
0,148,transit,0.0
0,149,car,97.1031
0,149,ped,13.0529
0,149,transit,0.0
0,150,car,10.0249
0,150,ped,0.0
0,150,transit,0.0
0,151,car,10.0249
0,151,ped,17.33
0,151,transit,0.0
0,152,car,12.3872
0,152,ped,0.0
0,152,transit,0.0
0,153,car,930.9324
0,153,ped,70.4947
0,153,transit,0.0
0,154,car,82.8444
0,154,ped,70.3922
0,154,transit,0.0
0,155,car,226.9111
0,155,ped,649.9725
0,155,transit,0.0
0,156,car,22.1502
0,156,ped,658.4918
0,156,transit,0.0
0,157,car,226.9111
0,157,ped,0.0
0,157,transit,0.0
0,158,car,1719.1322
0,158,ped,652.614
0,158,transit,0.0
0,159,car,1872.1442
0,159,ped,632.4933
0,159,transit,0.0
0,160,car,47.3203
0,160,ped,53.6738
0,160,transit,0.0
0,161,car,2142.4011
0,161,ped,634.9128
0,161,transit,0.0
0,162,car,304.0015
0,162,ped,0.0
0,162,transit,0.0
0,163,car,887.7307
0,163,ped,85.3014
0,163,transit,0.0
0,164,car,181.7718
0,164,ped,0.0
0,164,transit,0.0
0,165,car,967.3039
0,165,ped,18.6796
0,165,transit,0.0
0,166,car,1727.0788
0,166,ped,0.0
0,166,transit,0.0
0,167,car,810.8234
0,167,ped,80.9966
0,167,transit,0.0
0,168,car,1398.5025
0,168,ped,0.0
0,168,transit,0.0
0,169,car,1503.2851
0,169,ped,0.0
0,169,transit,0.0
0,170,car,273.5325
0,170,ped,49.5401
0,170,transit,0.0
0,171,car,35.3178
0,171,ped,84.4852
0,171,transit,0.0
0,172,car,462.1309
0,172,ped,0.0
0,172,transit,0.0
0,173,car,874.4444
0,173,ped,157.4785
0,173,transit,0.0
0,174,car,177.1074
0,174,ped,143.0587
0,174,transit,0.0
0,175,car,0.0
0,175,ped,95.9885
0,175,transit,0.0
0,176,car,275.9925
0,176,ped,16.0837
0,176,transit,0.0
0,177,car,232.9484
0,177,ped,0.0
0,177,transit,0.0
0,178,car,0.0
0,178,ped,0.0
0,178,transit,0.0
0,179,car,140.1544
0,179,ped,59.4683
0,179,transit,0.0
0,180,car,1049.7605
0,180,ped,0.0
0,180,transit,0.0
0,181,car,254.2436
0,181,ped,0.0
0,181,transit,0.0
0,182,car,397.204
0,182,ped,0.0
0,182,transit,0.0
0,183,car,467.6779
0,183,ped,0.0
0,183,transit,0.0
0,184,car,385.0507
0,184,ped,4.7643
0,184,transit,0.0
0,185,car,694.5577
0,185,ped,44.6557
0,185,transit,0.0
